Date,YSB,Temp,RH,RF
23-07-2018,0,27.5,97.5,15
24-07-2018,0,29,91.5,0
25-07-2018,0,31.5,94.5,0
26-07-2018,0,29.05,90.5,0
27-07-2018,0,28.5,93.5,0
28-07-2018,0,29.5,82.5,0
29-07-2018,0,27.15,90.5,6
30-07-2018,0,29.25,90,0
31-07-2018,0,29.25,87,0
01-08-2018,0,27,92,0
02-08-2018,0,27.5,91,0
03-08-2018,0,28.5,94,0
04-08-2018,0,29.75,85.5,0
05-08-2018,0,25.5,94,0
06-08-2018,0,27,79.5,12
07-08-2018,0,25.5,81,71
08-08-2018,0,28.2,63,0
09-08-2018,0,29,83.5,0
10-08-2018,0,29.5,94,0
11-08-2018,0,28.25,97,12
12-08-2018,0,28,83,0
13-08-2018,0,25.5,92.5,40
14-08-2018,0,26.7,78,12
15-08-2018,0,28.6,91,0
16-08-2018,0,28.5,92,25
17-08-2018,0,27.4,96,20
18-08-2018,0,28.5,84,0
19-08-2018,0,28.3,83.5,0
20-08-2018,0,28.25,87,20
21-08-2018,0,29.5,86,20
22-08-2018,0,30,77,0
23-08-2018,0,30,77.5,0
24-08-2018,0,28.75,90,0
25-08-2018,0,29,80,0
26-08-2018,0,26.5,86,0
27-08-2018,0,27.5,89,8
28-08-2018,0,28.25,94,0
29-08-2018,0,28.5,89.5,17
30-08-2018,0,29,76,0
31-08-2018,0,29.5,80.5,0
01-09-2018,0,28,85.5,44
02-09-2018,0,27.9,88,0
03-09-2018,0,28.75,81,0
04-09-2018,7,27.25,79.5,0
05-09-2018,0,25.25,88.5,0
06-09-2018,0,23.5,96.5,160
07-09-2018,2,27.3,79.5,60
08-09-2018,0,27.65,84,0
09-09-2018,0,27.95,94.5,0
10-09-2018,1,29,91,0
11-09-2018,0,28.5,75.5,0
12-09-2018,2,29.1,78.5,0
13-09-2018,0,29.25,72.5,0
14-09-2018,2,29.3,74.5,0
15-09-2018,0,28.75,79.5,15
16-09-2018,0,28.5,78,21
17-09-2018,0,28.5,74.5,13
18-09-2018,0,28.55,81,0
19-09-2018,0,28,76.5,0
20-09-2018,1,24.75,91,40
21-09-2018,0,24.8,88.5,26
22-09-2018,0,28,86.5,20
23-09-2018,0,28.6,87,0
24-09-2018,8,28.65,82.5,36
25-09-2018,0,29,81.5,0
26-09-2018,9,28.25,81,5
27-09-2018,0,28.5,79.5,0
28-09-2018,12,29,75.5,0
29-09-2018,6,29.5,79.5,0
30-09-2018,0,29.1,77,0
01-10-2018,11,29.6,80.5,0
02-10-2018,0,29.55,79.5,0
03-10-2018,8,29.5,76,0
04-10-2018,0,30.1,73,0
05-10-2018,0,30.25,72.5,0
06-10-2018,7,29.65,74.5,0
07-10-2018,0,29.65,71,0
08-10-2018,10,28.75,72.5,0
09-10-2018,0,27.25,72.5,0
10-10-2018,4,27.1,73,25
11-10-2018,0,24.75,81.5,70
12-10-2018,15,24.55,78,143
13-10-2018,0,24,87,40
14-10-2018,0,26.1,79,17
15-10-2018,13,26.5,83,0
16-10-2018,0,26.6,84,0
17-10-2018,0,26.85,70,0
18-10-2018,17,27.5,88,0
19-10-2018,0,27.1,80,0
20-10-2018,11,28.05,76,0
21-10-2018,0,27.6,81,0
22-10-2018,0,27.3,79,0
23-10-2018,8,28.15,73.5,0
24-10-2018,0,28.25,70.5,0
25-10-2018,6,26.75,67.5,0
26-10-2018,0,27.05,69.5,0
27-10-2018,10,26.5,85.5,0
28-10-2018,0,25,79,0
29-10-2018,16,22,84,0
30-10-2018,0,23.1,79,0
31-10-2018,10,25.25,81.5,0
01-11-2018,7,24.75,92,0
02-11-2018,0,25.75,85,0
03-11-2018,3,25.3,73.5,0
04-11-2018,0,25.8,72,0
05-11-2018,0,27.7,72,0
06-11-2018,36,27.9,71,0
07-11-2018,0,26.9,82,0
08-11-2018,9,25.5,76.5,0
09-11-2018,0,25.7,84,0
10-11-2018,0,25.6,81.5,0
11-11-2018,0,26,83,0
12-11-2018,10,24.15,63.5,0
13-11-2018,16,23.15,87,0
14-11-2018,0,23,82.5,0
15-11-2018,9,25,79.5,0
16-11-2018,0,24.6,77,0
17-11-2018,0,25.6,85,0
18-11-2018,0,25.5,87.5,0
19-11-2018,12,24.1,77,0
20-11-2018,0,24.65,69,0
21-11-2018,0,24.35,77,0
22-11-2018,11,23.6,90.5,0
23-11-2018,0,24.3,87,0
24-11-2018,10,22.75,87.5,0
25-11-2018,0,23.45,91,0
26-11-2018,5,21.75,67.5,0
27-11-2018,0,22.1,78.5,0
28-11-2018,2,22.7,75.5,0
29-11-2018,0,22.35,70.5,0
30-11-2018,6,21.35,73.5,0
01-12-2018,0,22.85,76.5,0
02-12-2018,0,22.75,78.5,0
03-12-2018,7,21.05,80,0
04-12-2018,0,21.35,80,0
05-12-2018,12,21.15,86,0
06-12-2018,0,23,68,0
07-12-2018,9,21.9,71.5,0
08-12-2018,0,22.7,67,0
09-12-2018,0,23.2,63.5,0
10-12-2018,0,23.15,85.5,0
11-12-2018,10,21.5,75.5,0
12-12-2018,0,22.15,63,0
13-12-2018,0,20.7,89,0
14-12-2018,6,21.6,86,0
15-12-2018,0,20,72,0
16-12-2018,0,17.65,77.5,0
17-12-2018,0,17.95,81.5,12
18-12-2018,9,16,89,0
19-12-2018,0,18.4,87.5,0
20-12-2018,12,19.5,75,0
21-12-2018,0,19.15,88,0
22-12-2018,0,19.75,78,0
23-12-2018,0,19.3,70.5,0
24-12-2018,13,19.25,68.5,0
25-12-2018,0,18.75,79.5,0
26-12-2018,0,17.65,78.5,0
27-12-2018,4,18.3,84.5,0
28-12-2018,0,18.9,76,0
29-12-2018,6,17.1,70.5,0
30-12-2018,0,16.95,63,0
31-12-2018,0,16.6,57.5,0
01-01-2019,10,17.35,69,0
02-01-2019,0,18.65,60.5,0
03-01-2019,7,19,61.5,0
04-01-2019,0,20.25,60,0
05-01-2019,0,20.6,60,0
06-01-2019,0,21.6,60,0
07-01-2019,4,21.5,59,0
08-01-2019,0,21.85,72,0
09-01-2019,0,21.75,64,0
10-01-2019,0,22.25,70.5,0
11-01-2019,0,19.25,74.5,0
12-01-2019,0,20.3,70.5,0
13-01-2019,0,19.95,73,0
14-01-2019,0,19.6,70.5,0
15-01-2019,0,19.75,70,0
16-01-2019,0,18,53.5,0
17-01-2019,0,19.1,49.5,0
18-01-2019,0,20,47.5,0
19-01-2019,0,21.25,79,0
20-01-2019,0,20.4,74,0
21-01-2019,0,21.1,70.5,0
22-01-2019,0,21.2,74,0
23-01-2019,0,20.75,68.5,0
24-01-2019,0,21.85,69.5,0
25-01-2019,0,21,74,0
26-01-2019,0,21.7,71,0
27-01-2019,0,22.35,66.5,0
28-01-2019,0,20.35,57.5,0
29-01-2019,0,21.5,67.5,0
30-01-2019,0,20.7,47.5,0
31-01-2019,0,20.95,51,0
01-02-2019,3,21.3,57.5,0
02-02-2019,4,22.05,59.5,0
03-02-2019,0,22.5,55.5,0
04-02-2019,12,23.75,82,0
05-02-2019,9,23.1,61,0
06-02-2019,12,24.55,59,0
07-02-2019,6,24.65,58.5,0
08-02-2019,15,24.2,61.5,0
09-02-2019,0,23.7,58.5,0
10-02-2019,0,24.6,60.5,0
11-02-2019,1,24.3,59.5,0
12-02-2019,3,22.8,60,0
13-02-2019,4,22.4,63.5,0
14-02-2019,1,23,68,0
15-02-2019,17,24.05,71,0
16-02-2019,5,22.1,74,3
17-02-2019,0,22.55,75,0
18-02-2019,36,24.05,63,0
19-02-2019,40,24.75,67,0
20-02-2019,14,25.9,58,0
21-02-2019,28,26,58.5,0
22-02-2019,39,27,66.5,0
23-02-2019,47,27,76,0
24-02-2019,0,28,73,0
25-02-2019,36,26,77,0
26-02-2019,55,26.6,75.5,0
27-02-2019,18,26.25,74.5,0
28-02-2019,45,25.3,78.5,18.2
01-03-2019,8,25.5,70.5,0
02-03-2019,8,24.55,67,0
03-03-2019,0,24,67,0
04-03-2019,5,26.55,81,0
05-03-2019,1,26.75,79.5,0
06-03-2019,10,26.25,70.5,6
07-03-2019,0,27.3,71.5,0
